Purchase Date,Product Name,Price,Category
2019-07-06,Smartphone,800.61,Electronics
2015-04-28,Laptop,999.16,Electronics
2019-04-19,Tablet,500.37,Household
2022-11-22,Smartwatch,249.34,Electronics
2015-07-22,Bluetooth Speaker,99.16,Electronics
2019-02-04,Noise-Cancelling Headphones,199.44,Electronics
2022-10-22,4K Blu-ray Player,150.07,Entertainment
2023-02-14,DSLR Camera,700.32,Electronics
2017-05-08,Gaming Console,499.65,Entertainment
2015-06-27,E-Reader,130.14,Entertainment
2022-12-19,Winter Jacket,119.97,Household
2016-04-16,Running Shoes,90.39,Necessities
2016-05-14,Jeans,59.29,Clothing
2017-06-12,T-Shirt,19.74,Clothing
2018-03-04,Dress,80.44,Clothing
2016-06-01,Sweater,49.42,Clothing
2021-08-16,Hat,25.2,Household
2022-07-22,Scarf,30.29,Clothing
2017-07-27,Gloves,19.58,Household
2015-03-01,Socks (Pack of 5),14.3,Clothing
2015-01-13,Microwave Oven,150.1,Electronics
2021-10-11,Vacuum Cleaner,199.59,Household
2022-04-05,Blender,59.08,Electronics
2019-08-05,Electric Kettle,29.5,Electronics
2015-01-22,Toaster,23.96,Household
2017-07-15,Coffee Maker,49.7,Household
2020-12-26,Iron,38.97,Household
2015-11-20,Air Purifier,149.14,Electronics
2017-04-18,Stand Mixer,300.34,Electronics
2022-07-18,Dish Soap,3.9,Household
2023-08-26,Movie Tickets (2),25.04,Entertainment
2015-12-18,Board Game,34.99,Necessities
2018-07-22,Streaming Service Subscription (Monthly),12.97,Household
2017-08-16,Concert Ticket,90.21,Entertainment
2016-05-11,Book,15.32,Household
2018-09-15,Video Game,59.89,Entertainment
2023-07-27,Puzzle,19.14,Necessities
2020-10-08,Magazine Subscription (Yearly),29.43,Electronics
2020-09-08,Music Instrument,500.66,Electronics
2019-02-28,Art Supplies,24.02,Necessities
2021-01-09,Groceries,99.99,Necessities
2016-05-21,Toothpaste,3.2,Necessities
2018-05-11,Shampoo,5.98,Necessities
2023-09-23,Toilet Paper (12 rolls),7.04,Household
2017-03-28,Laundry Detergent,10.71,Clothing
2020-06-20,Hand Soap,3.72,Household
2023-12-21,Deodorant,4.09,Necessities
2019-07-09,First Aid Kit,20.03,Necessities
2015-02-18,Batteries (Pack of 4),5.85,Electronics
2022-05-17,Light Bulbs (Pack of 4),7.03,Electronics
2022-07-26,Soccer Ball,25.49,Sports
2020-07-05,Basketball,30.56,Sports
2016-04-20,Tennis Racket,59.72,Sports
2022-01-11,Yoga Mat,19.58,Necessities
2022-07-27,Dumbbells (Pair),40.26,Clothing
2022-09-27,Bicycle Helmet,50.75,Clothing
2016-12-09,Running Shorts,23.58,Clothing
2017-11-09,Swim Goggles,14.62,Clothing
2023-03-14,Baseball Glove,59.45,Sports
2021-07-25,Golf Balls (Pack of 12),20.72,Sports
2023-09-22,Smartphone,800.61,Electronics
2023-03-01,Laptop,999.16,Electronics
2017-02-26,Tablet,500.37,Household
2016-05-02,Smartwatch,249.34,Electronics
2023-07-16,Bluetooth Speaker,99.16,Electronics
2017-07-23,Noise-Cancelling Headphones,199.44,Electronics
2017-02-24,4K Blu-ray Player,150.07,Entertainment
2020-01-08,DSLR Camera,700.32,Electronics
2022-09-19,Gaming Console,499.65,Entertainment
2020-03-05,E-Reader,130.14,Entertainment
2015-10-15,Winter Jacket,119.97,Household
2016-02-21,Running Shoes,90.39,Necessities
2023-09-16,Jeans,59.29,Clothing
2023-10-20,T-Shirt,19.74,Clothing
2017-09-23,Dress,80.44,Clothing
2015-07-20,Sweater,49.42,Clothing
2021-04-09,Hat,25.2,Household
2018-11-08,Scarf,30.29,Clothing
2020-09-05,Gloves,19.58,Household
2021-04-15,Socks (Pack of 5),14.3,Clothing
2019-04-11,Microwave Oven,150.1,Electronics
2020-01-07,Vacuum Cleaner,199.59,Household
2015-11-09,Blender,59.08,Electronics
2016-06-16,Electric Kettle,29.5,Electronics
2020-09-23,Toaster,23.96,Household
2018-12-23,Coffee Maker,49.7,Household
2015-07-26,Iron,38.97,Household
2018-04-09,Air Purifier,149.14,Electronics
2018-04-06,Stand Mixer,300.34,Electronics
2022-03-02,Dish Soap,3.9,Household
2023-12-18,Movie Tickets (2),25.04,Entertainment
2021-08-22,Board Game,34.99,Necessities
2017-07-27,Streaming Service Subscription (Monthly),12.97,Household
2016-01-04,Concert Ticket,90.21,Entertainment
2020-07-28,Book,15.32,Household
2023-04-05,Video Game,59.89,Entertainment
2017-12-17,Puzzle,19.14,Necessities
2018-07-26,Magazine Subscription (Yearly),29.43,Electronics
2021-01-25,Music Instrument,500.66,Electronics
2019-06-09,Art Supplies,24.02,Necessities
2016-09-06,Groceries,99.99,Necessities
2020-06-01,Toothpaste,3.2,Necessities
2020-08-12,Shampoo,5.98,Necessities
2021-04-13,Toilet Paper (12 rolls),7.04,Household
2015-10-10,Laundry Detergent,10.71,Clothing
2017-11-10,Hand Soap,3.72,Household
2020-08-07,Deodorant,4.09,Necessities
2016-12-05,First Aid Kit,20.03,Necessities
2015-07-28,Batteries (Pack of 4),5.85,Electronics
2023-04-15,Light Bulbs (Pack of 4),7.03,Electronics
2019-12-09,Soccer Ball,25.49,Sports
2021-09-21,Basketball,30.56,Sports
2016-04-07,Tennis Racket,59.72,Sports
2022-09-28,Yoga Mat,19.58,Necessities
2017-07-23,Dumbbells (Pair),40.26,Clothing
2023-01-10,Bicycle Helmet,50.75,Clothing
2019-08-20,Running Shorts,23.58,Clothing
2016-06-15,Swim Goggles,14.62,Clothing
2015-05-08,Baseball Glove,59.45,Sports
2015-03-16,Golf Balls (Pack of 12),20.72,Sports
2019-05-25,Smartphone,800.61,Electronics
2016-08-05,Laptop,999.16,Electronics
2016-09-18,Tablet,500.37,Household
2021-05-06,Smartwatch,249.34,Electronics
2018-03-10,Bluetooth Speaker,99.16,Electronics
2021-05-26,Noise-Cancelling Headphones,199.44,Electronics
2020-12-28,4K Blu-ray Player,150.07,Entertainment
2016-01-28,DSLR Camera,700.32,Electronics
2017-09-04,Gaming Console,499.65,Entertainment
2019-11-23,E-Reader,130.14,Entertainment
2023-11-08,Winter Jacket,119.97,Household
2022-01-27,Running Shoes,90.39,Necessities
2015-05-05,Jeans,59.29,Clothing
2023-03-07,T-Shirt,19.74,Clothing
2016-10-27,Dress,80.44,Clothing
2016-07-11,Sweater,49.42,Clothing
2019-09-15,Hat,25.2,Household
2018-08-14,Scarf,30.29,Clothing
2018-04-09,Gloves,19.58,Household
2017-05-05,Socks (Pack of 5),14.3,Clothing
2016-05-23,Microwave Oven,150.1,Electronics
2016-01-20,Vacuum Cleaner,199.59,Household
2018-11-19,Blender,59.08,Electronics
2022-05-25,Electric Kettle,29.5,Electronics
2018-01-20,Toaster,23.96,Household
2015-01-18,Coffee Maker,49.7,Household
2022-09-11,Iron,38.97,Household
2015-11-14,Air Purifier,149.14,Electronics
2015-06-10,Stand Mixer,300.34,Electronics
2017-05-03,Dish Soap,3.9,Household
2018-02-19,Movie Tickets (2),25.04,Entertainment
2016-07-01,Board Game,34.99,Necessities
2021-05-26,Streaming Service Subscription (Monthly),12.97,Household
2017-08-03,Concert Ticket,90.21,Entertainment
2018-12-04,Book,15.32,Household
2020-04-05,Video Game,59.89,Entertainment
2015-05-04,Puzzle,19.14,Necessities
2016-04-24,Magazine Subscription (Yearly),29.43,Electronics
2019-10-10,Music Instrument,500.66,Electronics
2019-07-20,Art Supplies,24.02,Necessities
2015-01-08,Groceries,99.99,Necessities
2017-02-27,Toothpaste,3.2,Necessities
2018-10-24,Shampoo,5.98,Necessities
2022-02-24,Toilet Paper (12 rolls),7.04,Household
2018-07-07,Laundry Detergent,10.71,Clothing
2022-04-24,Hand Soap,3.72,Household
2019-07-27,Deodorant,4.09,Necessities
2015-02-13,First Aid Kit,20.03,Necessities
2021-06-13,Batteries (Pack of 4),5.85,Electronics
2021-09-06,Light Bulbs (Pack of 4),7.03,Electronics
2015-10-21,Soccer Ball,25.49,Sports
2021-11-17,Basketball,30.56,Sports
2020-07-05,Tennis Racket,59.72,Sports
2022-07-12,Yoga Mat,19.58,Necessities
2019-09-05,Dumbbells (Pair),40.26,Clothing
2023-03-19,Bicycle Helmet,50.75,Clothing
2018-02-04,Running Shorts,23.58,Clothing
2020-04-06,Swim Goggles,14.62,Clothing
2021-04-03,Baseball Glove,59.45,Sports
