Purchase Date,Product Name,Price,Category
2019-07-06,Dish Soap,530.7,Household
2015-04-28,Groceries,637.63,Necessities
2019-04-19,Notebook,967.34,Household
2022-11-22,Hair Dryer,446.48,Household
2015-07-22,Microwave Oven,518.08,Electronics
2019-02-04,Sketchpad,626.63,Household
2022-10-22,Tablet,627.9,Household
2023-02-14,LED TV,551.18,Household
2017-05-08,Tablet,93.08,Household
2015-06-27,Electric Kettle,482.01,Electronics
2022-12-19,Art Supplies,276.19,Necessities
2016-04-16,Winter Jacket,470.68,Household
2016-05-14,Printer,108.03,Electronics
2017-06-12,Printer,554.62,Electronics
2018-03-04,Kitchen Blender,600.73,Entertainment
2016-06-01,Soccer Ball,107.67,Sports
2021-08-16,Wireless Headphones,664.11,Electronics
2022-07-22,Movie Tickets,447.85,Necessities
2017-07-27,Hiking Boots,943.79,Clothing
2015-03-01,Bluetooth Speaker,571.51,Electronics
2015-01-13,Frying Pan,770.8,Necessities
2021-10-11,Sketchpad,857.61,Household
2022-04-05,Vacuum Cleaner,139.5,Household
2019-08-05,LED TV,405.82,Household
2015-01-22,Movie Tickets,298.8,Necessities
2017-07-15,Soccer Ball,334.79,Sports
2020-12-26,Sketchpad,457.23,Household
2015-11-20,Pencil Set,164.77,Household
2017-04-18,Music Instrument,77.95,Electronics
2022-07-18,Electric Toothbrush,330.29,Electronics
2023-08-26,E-Book Reader,321.8,Necessities
2015-12-18,Desk Chair,493.79,Household
2018-07-22,Sunglasses,917.5,Necessities
2017-08-16,Toothpaste,999.33,Necessities
2016-05-11,Backpack,732.87,Clothing
2018-09-15,Toothpaste,307.84,Necessities
2023-07-27,Gaming Console,970.66,Entertainment
2020-10-08,Tablet,728.32,Household
2020-09-08,Wireless Headphones,626.33,Electronics
2019-02-28,Notebook,430.75,Household
2021-01-09,Dishwasher Pods,299.12,Household
2016-05-21,Streaming Subscription,495.17,Entertainment
2018-05-11,Air Purifier,311.06,Electronics
2023-09-23,Art Supplies,808.54,Necessities
2017-03-28,Standing Desk,842.37,Household
2020-06-20,Dish Soap,813.55,Household
2023-12-21,Groceries,33.18,Necessities
2019-07-09,Office Chair,376.48,Necessities
2015-02-18,Standing Desk,926.42,Household
2022-05-17,Coffee Maker,378.2,Household
2022-07-26,Hand Sanitizer,982.96,Necessities
2020-07-05,Running Shoes,815.04,Necessities
2016-04-20,Shampoo,437.44,Necessities
2022-01-11,Toilet Paper,290.26,Necessities
2022-07-27,Carpet Cleaner,528.75,Household
2022-09-27,Laundry Detergent,522.39,Clothing
2016-12-09,Tennis Racket,333.85,Sports
2017-11-09,E-Book Reader,704.1,Necessities
2023-03-14,Running Shoes,883.15,Necessities
2021-07-25,Wireless Headphones,274.4,Electronics
2023-09-22,Sunglasses,606.74,Necessities
2023-03-01,Sunglasses,948.25,Necessities
2017-02-26,E-Book Reader,765.7,Necessities
2016-05-02,Fan Heater,271.3,Entertainment
2023-07-16,Bluetooth Speaker,392.67,Electronics
2017-07-23,Pencil Set,115.72,Household
2017-02-24,Hiking Boots,388.37,Clothing
2020-01-08,Winter Jacket,344.84,Household
2022-09-19,Toilet Paper,250.66,Necessities
2020-03-05,Art Supplies,148.18,Necessities
2015-10-15,Pressure Cooker,972.6,Necessities
2016-02-21,Kitchen Blender,707.18,Entertainment
2023-09-16,E-Book Reader,760.3,Necessities
2023-10-20,Printer,262.24,Electronics
2017-09-23,Tablet,858.63,Household
2015-07-20,Frying Pan,79.79,Necessities
2021-04-09,Garden Tools,403.91,Necessities
2018-11-08,Hiking Boots,697.1,Clothing
2020-09-05,Fan Heater,731.51,Entertainment
2021-04-15,Wireless Headphones,106.28,Electronics
2019-04-11,Winter Jacket,109.52,Household
2020-01-07,Art Supplies,21.15,Necessities
2015-11-09,Paint Set,272.18,Household
2016-06-16,Pencil Set,102.23,Household
2020-09-23,Soccer Ball,261.51,Sports
2018-12-23,Water Bottle,20.29,Necessities
2015-07-26,Desk Chair,312.65,Household
2018-04-09,Dishwasher Pods,586.52,Household
2018-04-06,Coffee Maker,734.36,Household
2022-03-02,Sunglasses,227.12,Necessities
2023-12-18,Sketchpad,273.32,Household
2021-08-22,Laptop,652.73,Electronics
2017-07-27,Standing Desk,977.21,Household
2016-01-04,Running Shoes,866.72,Necessities
2020-07-28,Desk Chair,40.23,Household
2023-04-05,Laundry Detergent,843.4,Clothing
2017-12-17,Art Supplies,718.06,Necessities
2018-07-26,Air Purifier,341.73,Electronics
2021-01-25,Gaming Console,619.08,Entertainment
2019-06-09,Electric Toothbrush,16.2,Electronics
2016-09-06,Sketchpad,973.63,Household
2020-06-01,Notebook,270.76,Household
2020-08-12,Soccer Ball,226.5,Sports
2021-04-13,Laundry Detergent,748.56,Clothing
2015-10-10,Laundry Detergent,931.38,Clothing
2017-11-10,Pencil Set,125.53,Household
2020-08-07,Concert Tickets,76.02,Entertainment
2016-12-05,Basketball,491.98,Sports
2015-07-28,Toothpaste,970.21,Necessities
2023-04-15,Microwave Oven,723.9,Electronics
2019-12-09,Laptop,26.02,Electronics
2021-09-21,Kitchen Blender,265.26,Entertainment
2016-04-07,Fan Heater,187.93,Entertainment
2022-09-28,Desk Chair,252.55,Household
2017-07-23,Fan Heater,347.09,Entertainment
2023-01-10,Hair Dryer,709.91,Household
2019-08-20,Water Bottle,199.18,Necessities
2016-06-15,Smart Watch,31.75,Electronics
2015-05-08,Smartphone,917.94,Electronics
2015-03-16,Soccer Ball,887.81,Sports
2019-05-25,Wireless Headphones,656.0,Electronics
2016-08-05,Electric Toothbrush,78.34,Electronics
2016-09-18,Dishwasher Pods,47.63,Household
2021-05-06,Backpack,600.41,Clothing
2018-03-10,Office Chair,251.25,Necessities
2021-05-26,Standing Desk,994.1,Household
2020-12-28,Electric Kettle,577.11,Electronics
2016-01-28,Laundry Detergent,954.36,Clothing
2017-09-04,Movie Tickets,834.05,Necessities
2019-11-23,Electric Toothbrush,726.26,Electronics
2023-11-08,Bicycle Helmet,669.96,Clothing
2022-01-27,Standing Desk,548.76,Household
2015-05-05,Sketchpad,789.47,Household
2023-03-07,Smartphone,850.85,Electronics
2016-10-27,Microwave Oven,830.78,Electronics
2016-07-11,Board Game,355.54,Necessities
2019-09-15,Groceries,795.79,Necessities
2018-08-14,Camping Tent,769.85,Necessities
2018-04-09,Camping Tent,380.83,Necessities
2017-05-05,Water Bottle,519.16,Necessities
2016-05-23,LED TV,521.95,Household
2016-01-20,Electric Toothbrush,724.8,Electronics
2018-11-19,Pressure Cooker,300.48,Necessities
2022-05-25,Gaming Console,742.12,Entertainment
2018-01-20,Microwave Oven,210.27,Electronics
2015-01-18,Vacuum Cleaner,112.37,Household
2022-09-11,Wireless Headphones,271.64,Electronics
2015-11-14,Garden Tools,27.7,Necessities
2015-06-10,Laptop,907.08,Electronics
2017-05-03,Laptop,984.52,Electronics
2018-02-19,Laundry Detergent,537.62,Clothing
2016-07-01,Hiking Boots,361.31,Clothing
2021-05-26,Laptop,860.56,Electronics
2017-08-03,Tennis Racket,79.91,Sports
2018-12-04,Carpet Cleaner,561.8,Household
2020-04-05,Shampoo,665.62,Necessities
2015-05-04,Carpet Cleaner,418.6,Household
2016-04-24,Tennis Racket,253.02,Sports
2019-10-10,Basketball,795.55,Sports
2019-07-20,Garden Tools,170.58,Necessities
2015-01-08,Laundry Detergent,255.96,Clothing
2017-02-27,Music Instrument,805.97,Electronics
2018-10-24,Standing Desk,689.96,Household
2022-02-24,Tablet,190.52,Household
2018-07-07,Printer,910.19,Electronics
2022-04-24,Yoga Mat,740.62,Necessities
2019-07-27,Bluetooth Speaker,846.94,Electronics
2015-02-13,Concert Tickets,585.29,Entertainment
2021-06-13,Kitchen Blender,331.77,Entertainment
2021-09-06,Tablet,201.41,Household
2015-10-21,Kitchen Blender,275.53,Entertainment
2021-11-17,Carpet Cleaner,263.05,Household
2020-07-05,Pressure Cooker,483.44,Necessities
2022-07-12,Sunglasses,197.42,Necessities
2019-09-05,Groceries,989.7,Necessities
2023-03-19,Electric Kettle,949.01,Electronics
2018-02-04,Groceries,448.36,Necessities
2020-04-06,Dish Soap,152.14,Household
2021-04-03,Shampoo,77.5,Necessities
2015-09-19,Toothpaste,131.32,Necessities
